,INSEE_COM,PrixMoyen_M2_2223,Prixm2Moyen_2022,Prixm2Moyen_2023,loyer_apparts,loyer_maisons,R2appart,R2maison,Loyer_annuel_apparts,Loyer_annuel_maisons,Rendement_locatif_apparts,Rendement_locatif_maisons,INSEE_DEP,NOM_COM_M,POPULATION
38,09052,892.0,852.5,971.0,7.8405536623608,6.87920216220584,"0,684062129800163","0,562848485909005",94.0866439483296,82.55042594647009,10.547830039050403,9.254532056779157,09,Besset,172
39,09054,1542.6363636363635,1459.25,1765.0,8.2410459700489,7.03911349526334,"0,772183877702808","0,684063495015358",98.8925516405868,84.46936194316008,6.410619765728415,5.475649604424308,09,Betchat,360
40,09055,1860.3333333333333,1966.75,1647.5,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,4.99830884830753,4.391568401274945,09,Bethmale,102
41,09056,2312.0,2594.4,900.0,9.40122754722737,7.65452578433497,"0,782462981723862","0,607178798815941",112.81473056672844,91.85430941201965,4.879529868803133,3.9729372583053473,09,Bézac,487
42,09057,2009.4137931034447,1937.13333333333,2086.85714285714,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,4.62747921444309,4.06575346031009,09,Biert,311
43,09058,1970.77777777778,1819.0,2046.66666666667,8.54699875743156,6.53527258180149,"0,769838407411312","0,666622064703731",102.56398508917871,78.42327098161788,5.204238968273143,3.9793056257234034,09,Bompas,203
44,09059,1346.6363636363635,1501.0,1218.0,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,6.9049973785739445,6.066805637450666,09,Bonac-Irazein,129
45,09060,1484.903225806447,1543.28571428571,1436.82352941176,9.40122754722737,7.65452578433497,"0,782462981723862","0,607178798815941",112.81473056672844,91.85430941201965,7.597446662253633,6.185878501417747,09,Bonnac,798
46,09061,867.5,798.0,950.9,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,11.194093159470116,9.168383257493534,09,Les Bordes-sur-Arize,477
47,09062,1553.4210526315774,1525.5,1601.28571428571,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,5.9858340049204655,5.259218721585572,09,Bordes-Uchentein,222
48,09063,1131.0,1350.0,912.0,7.7487671340012,6.6279770632297,"0,67184343158923","0,621388463484879",92.9852056080144,79.5357247587564,8.221503590452201,7.032336406609762,09,Le Bosc,116
49,09065,1925.583333333335,1926.92307692308,1924.0,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,5.043082606573065,4.130474302614256,09,Boussenac,245
50,09066,1627.0,1477.0,1852.0,8.54699875743156,6.53527258180149,"0,769838407411312","0,666622064703731",102.56398508917871,78.42327098161788,6.3038712408837565,4.820114995797042,09,Brassac,631
51,09067,1476.428571428571,1360.6,1766.0,9.40122754722737,7.59169898926269,"0,782462981723862","0,66930516490068",112.81473056672844,91.10038787115228,7.64105577133139,6.170321384596671,09,Brie,208
52,09070,1441.1875,1323.0,1512.1,8.56738996126048,7.34687306232167,"0,738443972705019","0,687306582108781",102.80867953512576,88.16247674786004,7.133608884001959,6.117349529319401,09,Les Cabannes,338
53,09071,1542.0,1626.0,1290.0,8.54699875743156,8.10907916123189,"0,769838407411312","0,5261364426342",102.56398508917871,97.30894993478267,6.651360900724949,6.310567440647384,09,Cadarcet,223
54,09074,1962.9,2529.6,1396.2,7.8405536623608,6.55154285869723,"0,684062129800163","0,612429932898961",94.0866439483296,78.61851430436676,4.793246927929573,4.005222594343408,09,Camon,153
55,09075,1918.6666666666667,2026.5,1864.75,8.09239651320027,7.03911349526334,"0,818083974152368","0,684063495015358",97.10875815840323,84.46936194316008,5.061262586435194,4.402503228448231,09,Campagne-sur-Arize,292
56,09076,1292.6666666666667,880.25,2117.5,9.40122754722737,6.6279770632297,"0,782462981723862","0,621388463484879",112.81473056672844,79.5357247587564,8.727287047451915,6.152841007639743,09,Canté,215
57,09077,1271.1,1240.875,1392.0,8.40769589863448,7.68000584930767,"0,736129153720724","0,687306582108781",100.89235078361376,92.16007019169204,7.937404671828633,7.250418550207856,09,Capoulet-et-Junac,192
58,09078,1441.0,1549.6,1169.5,8.56738996126048,6.08034104987485,"0,738443972705019","0,730219105533966",102.80867953512576,72.9640925984982,7.13453709473461,5.063434600867328,09,Carcanières,71
59,09079,1768.714285714285,1624.4,1899.90909090909,8.09239651320027,7.59169898926269,"0,818083974152368","0,66930516490068",97.10875815840323,91.10038787115228,5.490358671422526,5.15065596557682,09,Carla-Bayle,806
60,09080,1868.0000000000011,1363.6,2708.66666666667,8.83138047715341,6.55154285869723,"0,660491209864879","0,612429932898961",105.97656572584091,78.61851430436676,5.673263689820174,4.208699909227339,09,Carla-de-Roquefort,171
61,09081,1546.0,1740.0,1449.0,8.27641565342848,7.65452578433497,"0,775943184031041","0,607178798815941",99.31698784114177,91.85430941201965,6.424125992311885,5.941417167659743,09,Le Carlaret,296
62,09082,1852.1739130434771,1679.25,2040.81818181818,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,5.242961121228348,4.294182322655864,09,Castelnau-Durban,467
63,09083,1152.0,1364.5,727.0,8.27641565342848,7.59169898926269,"0,775943184031041","0,66930516490068",99.31698784114177,91.10038787115228,8.621266305654665,7.908019780481968,09,Castéras,22
64,09084,1813.0,2314.0,811.0,9.40122754722737,7.59169898926269,"0,782462981723862","0,66930516490068",112.81473056672844,91.10038787115228,6.222544432803554,5.024842132992403,09,Castex,96
